dataset,video_id,source_video_id,source_id,identity_id,manipulation,class,split,original_available,landmark_success_fraction,feature_valid,exclusion_reason,final_model_evaluation,compression,total_frames,native_fps,sampled_frames,frames_with_landmarks,landmark_success_ratio,video_retained,gating_exclusion_reason,in_final_evaluation,filepath
CelebDF,id0_0000,id0_0000,id0_0000,id0,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,469,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id0_0000.mp4
CelebDF,id0_0001,id0_0001,id0_0001,id0,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,303,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id0_0001.mp4
CelebDF,id0_0002,id0_0002,id0_0002,id0,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,350,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id0_0002.mp4
CelebDF,id0_0003,id0_0003,id0_0003,id0,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,529,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id0_0003.mp4
CelebDF,id0_0004,id0_0004,id0_0004,id0,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,326,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id0_0004.mp4
CelebDF,id0_0005,id0_0005,id0_0005,id0,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,459,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id0_0005.mp4
CelebDF,id0_0006,id0_0006,id0_0006,id0,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,534,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id0_0006.mp4
CelebDF,id0_0007,id0_0007,id0_0007,id0,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,479,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id0_0007.mp4
CelebDF,id0_0008,id0_0008,id0_0008,id0,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,464,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id0_0008.mp4
CelebDF,id0_0009,id0_0009,id0_0009,id0,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,520,30.0,300,300,1.0,True,retained,True,celebdf_v2/Celeb-real/id0_0009.mp4
CelebDF,id10_0000,id10_0000,id10_0000,id10,Celeb-real,real,eval_only,True,1.0,True,retained,True,native,239,30.0,239,239,1.0,True,retained,True,celebdf_v2/Celeb-real/id10_0000.mp4
