claim_id,manuscript_location,value,source_file,config_hash,commit,status,reason
R2-001,Table 7 :: deepfakes,0.9706,results/P1_6_assert_unaffected.json,934ecb587a135601,115cc9e,MEASURED,
R2-002,Table 7 :: face2face,0.8096,results/P1_6_assert_unaffected.json,934ecb587a135601,115cc9e,MEASURED,
R2-003,Table 7 :: faceswap,0.9631,results/P1_6_assert_unaffected.json,934ecb587a135601,115cc9e,MEASURED,
R2-004,Table 7 :: neuraltextures,0.7867,results/P1_6_assert_unaffected.json,934ecb587a135601,115cc9e,MEASURED,
R2-005,Table 8 :: deepfakes,0.7039,results/P1_6_assert_unaffected.json,934ecb587a135601,115cc9e,MEASURED,
R2-006,Table 8 :: face2face,0.6904,results/P1_6_assert_unaffected.json,934ecb587a135601,115cc9e,MEASURED,
R2-007,Table 8 :: faceswap,0.5978,results/P1_6_assert_unaffected.json,934ecb587a135601,115cc9e,MEASURED,
R2-008,Table 8 :: neuraltextures,0.5221,results/P1_6_assert_unaffected.json,934ecb587a135601,115cc9e,MEASURED,
R2-009,Table 13 :: auc,0.6322,results/P1_6_assert_unaffected.json,934ecb587a135601,115cc9e,MEASURED,
R2-010,Table 13 :: complete_case_auc,0.6382,results/P1_missingness_audit.json,934ecb587a135601,115cc9e,MEASURED,
R2-011,Table 13 :: missingness_control_auc,0.5293,results/P1_missingness_audit.json,934ecb587a135601,115cc9e,MEASURED,
R2-012,Table 6 :: authentic_input,890,results/P1_celebdf_reconciliation.md,934ecb587a135601,115cc9e,MEASURED,
R2-013,Table 6 :: authentic_evaluated,798,results/P1_celebdf_reconciliation.md,934ecb587a135601,115cc9e,MEASURED,
R2-014,Table 6 :: authentic_excluded,92,results/P1_celebdf_reconciliation.md,934ecb587a135601,115cc9e,MEASURED,
R2-015,Table 6 :: manipulated_input,5639,results/P1_celebdf_reconciliation.md,934ecb587a135601,115cc9e,MEASURED,
R2-016,Table 6 :: manipulated_evaluated,5323,results/P1_celebdf_reconciliation.md,934ecb587a135601,115cc9e,MEASURED,
R2-017,Table 6 :: manipulated_excluded,316,results/P1_celebdf_reconciliation.md,934ecb587a135601,115cc9e,MEASURED,
R2-018,Table 6 :: total_excluded,408,results/P1_celebdf_reconciliation.md,934ecb587a135601,115cc9e,MEASURED,
R2-019,Table 6 :: official_test_list_used,False,results/P1_celebdf_reconciliation.md,934ecb587a135601,115cc9e,MEASURED,
